proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Krishna Mohan Poluri,"[['Krishna Mohan Poluri', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Maya S.Nair,"[['Maya S.Nair', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",N K Navani,"[['N K Navani', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Partha Roy,"[['Partha Roy', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Poonam Choudhary,"[['Poonam Choudhary', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Prabhat Kumar Mandal,"[['Prabhat Kumar Mandal', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Pranita P Sarangi,"[['Pranita P Sarangi', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Krishna Mohan Poluri']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Pravindra Kumar,"[['Pravindra Kumar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Prince Tiwari,"[['Prince Tiwari', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",R. P. Singh,"[['R. P. Singh', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
