proposal_link,title,skills,researcher_name,team,goodness
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Gaurav Raheja,"[['Gaurav Raheja', 'Harshit Sosan Lakra'], ['Gaurav Raheja', 'Deepak Sharma'], ['Gaurav Raheja', 'Debabrata Sircar'], ['Gaurav Raheja', 'Ashwani Kumar Sharma'], ['Gaurav Raheja', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Harshit Sosan Lakra,[['Harshit Sosan Lakra']],[0.4]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Mahua Mukherjee,[['Mahua Mukherjee']],[0.4]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Prabhjot Singh Chani,[['Prabhjot Singh Chani']],[0.4]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],E Rajasekar,"[['E Rajasekar', 'Harshit Sosan Lakra'], ['E Rajasekar', 'Deepak Sharma'], ['E Rajasekar', 'Debabrata Sircar'], ['E Rajasekar', 'Ashwani Kumar Sharma'], ['E Rajasekar', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Ram Sateesh Pasupuleti,[['Ram Sateesh Pasupuleti']],[0.4]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Saptarshi Kolay,"[['Saptarshi Kolay', 'Harshit Sosan Lakra'], ['Saptarshi Kolay', 'Deepak Sharma'], ['Saptarshi Kolay', 'Debabrata Sircar'], ['Saptarshi Kolay', 'Ashwani Kumar Sharma'], ['Saptarshi Kolay', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Harshit Sosan Lakra'], ['Shubhajit Sadhukhan', 'Deepak Sharma'], ['Shubhajit Sadhukhan', 'Debabrata Sircar'], ['Shubhajit Sadhukhan', 'Ashwani Kumar Sharma'], ['Shubhajit Sadhukhan', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Smriti Saraswat,"[['Smriti Saraswat', 'Harshit Sosan Lakra'], ['Smriti Saraswat', 'Deepak Sharma'], ['Smriti Saraswat', 'Debabrata Sircar'], ['Smriti Saraswat', 'Ashwani Kumar Sharma'], ['Smriti Saraswat', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Sonal Atreya,"[['Sonal Atreya', 'Harshit Sosan Lakra'], ['Sonal Atreya', 'Deepak Sharma'], ['Sonal Atreya', 'Debabrata Sircar'], ['Sonal Atreya', 'Ashwani Kumar Sharma'], ['Sonal Atreya', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Tina Pujara,[['Tina Pujara']],[0.4]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Uttam Kumar Roy,[['Uttam Kumar Roy']],[0.4]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],V Devadas,"[['V Devadas', 'Harshit Sosan Lakra'], ['V Devadas', 'Deepak Sharma'], ['V Devadas', 'Debabrata Sircar'], ['V Devadas', 'Ashwani Kumar Sharma'], ['V Devadas', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Jaydev Dabas,"[['Jaydev Dabas', 'Harshit Sosan Lakra'], ['Jaydev Dabas', 'Deepak Sharma'], ['Jaydev Dabas', 'Debabrata Sircar'], ['Jaydev Dabas', 'Ashwani Kumar Sharma'], ['Jaydev Dabas', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Millie Pant,"[['Millie Pant', 'Harshit Sosan Lakra'], ['Millie Pant', 'Deepak Sharma'], ['Millie Pant', 'Debabrata Sircar'], ['Millie Pant', 'Ashwani Kumar Sharma'], ['Millie Pant', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Rajan Arora,"[['Rajan Arora', 'Harshit Sosan Lakra'], ['Rajan Arora', 'Deepak Sharma'], ['Rajan Arora', 'Debabrata Sircar'], ['Rajan Arora', 'Ashwani Kumar Sharma'], ['Rajan Arora', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Ashwani Kumar Sharma,[['Ashwani Kumar Sharma']],[0.4]
