nsf_proposal_links_v0,skills
v0_047_indo_canada_joint_call_for_proposals_improving_occupant_survivability_in_buildings_during_fires_using_innovations_in_structural_engineering_materials_science_and_cyber_physical_interfaces,"['building', 'condition', 'country', 'design', 'environment', 'event', 'impact', 'india', 'major', 'material', 'population', 'rapid urbanization', 'result', 'structural engineering', 'system', 'world', 'year']"
v0_048_call_for_oriented_research__technology_development_proposals_on_hydrogen_and_fuel_cell_hfc___2018,"['advance', 'application', 'challenge', 'department', 'design', 'development', 'different type', 'efficiency', 'environment', 'increase', 'india', 'level', 'renewable source', 'support', 'synthesis', 'system']"
v0_049_initiative_in_coordinated_programme_for_arid_semi_arid_and_cold_desert_regionsasacoder,['general']
v0_050_india___thailand_joint_call_for_proposals,"['application', 'area', 'centre', 'department', 'development', 'field', 'india', 'institute', 'priority', 'urban development', 'year']"
v0_051_dst_science_technology_and_innovation_policy_fellowships,"['application', 'area', 'country', 'decade', 'department', 'development', 'importance', 'input', 'major', 'number', 'objective', 'opportunity', 'process', 'resource', 'result', 'role', 'work', 'world']"
v0_052_dst_daad_2018_call_for_personal_exchanges_between_india_and_germany,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_053_joint_call_for_project_proposals_2018___indo_danish_research_and_innovation_cooperation_in_the_areas_of_renewable_energy,"['application', 'area', 'country', 'department', 'development', 'efficiency', 'faculty member', 'field', 'form', 'india', 'institute', 'member', 'procedure', 'solution', 'system']"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,"['algae', 'challenge', 'country', 'department', 'design', 'development', 'india', 'letter', 'material', 'member', 'opportunity', 'process', 'study', 'system']"
v0_055_india_belarus_joint_call_for_proposals,"['application', 'area', 'country', 'department', 'environment', 'form', 'india', 'material', 'system']"
v0_056_call_for_enrollment_of_desalination_solution_providers,"['area', 'department', 'india', 'opportunity', 'solution', 'system', 'use', 'year']"
v0_057_india_japan_cooperative_science_programme_ijcsp,"['application', 'area', 'department', 'fundamental', 'global warming', 'india', 'machine learning', 'material', 'polymer', 'process', 'resource', 'support', 'synthesis', 'system']"
v0_058_dst_nwo_joint_call_on_urban_water_systems,"['challenge', 'city', 'condition', 'country', 'department', 'design', 'development', 'expression', 'india', 'objective', 'procedure', 'solution', 'system', 'work']"
v0_059_indo_russian_joint_research_call_for_proposals_2018,"['application', 'area', 'article', 'department', 'form', 'foundation', 'india', 'material', 'member', 'result', 'system', 'year', 'young researcher']"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,"['area', 'challenge', 'cost effectiveness', 'country', 'development', 'efficiency', 'increase', 'india', 'institute', 'letter', 'material', 'member', 'model', 'opportunity', 'polymer', 'product', 'year']"
v0_061_call_for_rd_project_proposals_from_indian_pharma_industrynational_laboratoriesacademic_institutions,"['case', 'department', 'development', 'facility', 'field', 'india', 'purpose', 'strength', 'support', 'system']"
v0_062_dst_cnrs_france_joint_call_for_proposals,"['centre', 'country', 'department', 'expert', 'field', 'india', 'interaction', 'objective', 'priority', 'purpose', 'system', 'year']"
v0_063_call_for_entries___awsar_programme,['general']
v0_064_call_for_papers___9th_national_teachers_science_congress,"['centre', 'department', 'experiment', 'form', 'guidance', 'india', 'level', 'paper', 'science education', 'student']"
v0_065_indo_finnish_joint_call_for_mobility_of_researchers,"['application', 'centre', 'city', 'country', 'degree', 'department', 'doctoral degree', 'faculty member', 'field', 'form', 'india', 'institute', 'member', 'support', 'system']"
v0_066_call_open_for_women_scientist_scheme_b_wos_b_2018_19,"['area', 'challenge', 'department', 'development', 'opportunity', 'phd', 'solution', 'woman', 'year']"
v0_067_dst_dfg_joint_call_inviting_joint_research_proposals,"['department', 'field', 'foundation', 'india', 'interaction', 'material', 'member', 'process', 'reason', 'result', 'review process', 'support', 'work', 'year']"
v0_068_call_for_proposal_cfp__2_under_india___israel_industrial_rd_and_technological_innovation_fund_i4f,"['development', 'india', 'process', 'process technology', 'product', 'support']"
v0_069_call___unescojapan_young_researchs_fellowship_programme_unescokeizo_obuchi_research_fellowships_programme_cycle_2018,"['application', 'form', 'place', 'prasad', 'resource']"
v0_070_call_for_nominations_serb_distinguished_fellowship_last_date_upto_30_november_2018,"['area', 'condition', 'k', 'need', 'number']"
v0_071_dst_dfg_awards_for_participation_in_the_69th_meeting_of_nobel_laureates__students_lindau_germany,"['application', 'department', 'field', 'foundation', 'importance', 'institute', 'level', 'major', 'student', 'world', 'year', 'young researcher']"
v0_072_india_sweden_joint_call_2018,"['application', 'area', 'computer science', 'degree', 'department', 'doctoral degree', 'environment', 'india', 'material', 'objective', 'role', 'support', 'year', 'young researcher']"
v0_073_joint_call_for_proposals___india_bulgaria_bilateral_scientific_and_technological_cooperation,"['area', 'centre', 'country', 'department', 'development', 'india', 'institute', 'material', 'member', 'objective', 'priority']"
v0_074_advertisement_for_science_and_technology_of_yoga_and_meditation_satyam,"['aspect', 'challenge', 'department', 'effect', 'investigation', 'process', 'study', 'year']"
v0_075_call_for_proposals_for_optimal_water_use_in_industrial_sector_water_conservation_water_use_efficiency_waste_water_recovery_utilization_of_residues,"['adoption', 'challenge', 'country', 'demand', 'department', 'design', 'development', 'efficiency', 'india', 'major', 'need', 'objective', 'population', 'resource', 'situation', 'solution', 'use', 'work']"
v0_076_call___indo_australia_fund_for_scientific_and_technological_cooperation_indo_aisrf_round_11,"['application', 'area', 'country', 'department', 'financial support', 'increase', 'india', 'objective', 'priority', 'range', 'round', 'support', 'system']"
v0_077_india___ukieri_call_for_proposal,"['building', 'capacity building', 'country', 'department', 'development', 'education sector', 'india', 'outcome', 'resource']"
v0_078_india_science_and_research_fellowship_programme,"['area', 'building', 'capacity building', 'century', 'country', 'department', 'development', 'india', 'material', 'opportunity', 'resource', 'strength', 'year']"
v0_079_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,"['application', 'area', 'centre', 'country', 'department', 'form', 'india', 'institute', 'mean', 'process', 'process technology', 'step', 'strength', 'support', 'year']"
v0_080_special_call_for_proposals_under_scheduled_castes_sc_and_scheduled_tribes_st_category_under_icps_programme,"['application', 'artificial intelligence', 'building', 'department', 'india', 'institute', 'level', 'machine learning', 'student', 'system']"
v0_081_call___indo_norway_joint_research_projects_in_st,"['application', 'area', 'country', 'department', 'environment', 'field', 'impact', 'importance', 'india', 'material', 'objective', 'ongoing', 'resource', 'result']"
v0_082_call_for_nomination_workshop_on_design_and_evaluation_of_innovation_policies_with_a_specific_focus_on_scientometrics,"['centre', 'country', 'department', 'design', 'edition', 'form', 'iisc bengaluru', 'indian institute', 'institute', 'model', 'need', 'survey']"
v0_083_indo_russian_joint_call_for_proposals_dst_rfbr,"['application', 'area', 'computer science', 'country', 'department', 'form', 'foundation', 'fundamental', 'india', 'institute', 'support', 'year']"
v0_084_call_open_for_11th_batch_of_wos_ckiran_ipr,"['application', 'applied science', 'area', 'bachelor', 'centre', 'department', 'master', 'ongoing', 'woman', 'year']"
v0_085_national_grand_challenge_awards_for_designing_user_friendly_smart_solar_cooking_solutions,"['challenge', 'department', 'design', 'feature', 'india', 'institute', 'objective', 'place', 'process', 'range', 'rural', 'solution', 'volume', 'work', 'year']"
v0_086_india__egypt_call_for_proposal,"['application', 'area', 'centre', 'country', 'department', 'development', 'faculty member', 'field', 'india', 'institute', 'member', 'priority', 'procedure', 'purpose', 'year']"
v0_087_swarnajayanti_fellowships_scheme_2018_19,"['application', 'area', 'department', 'impact', 'india', 'need', 'number', 'phd', 'potential', 'support', 'year']"
v0_088_dst_overseas_visiting_fellowship_admissions,"['application', 'area', 'centre', 'department', 'field', 'form', 'india']"
v0_089_sustainable__innovative_technologies_in_agricultureagro_tech_under_the_scheme_technology_development_programme,"['area', 'country', 'department', 'development', 'increase', 'india', 'opportunity', 'process', 'product', 'supply chain']"
v0_090_scheme_for_young_scientists_and_technologists,['general']
v0_091_chord_nstmis_scheme_call_for_proposals_2018_19,"['area', 'collection', 'country', 'department', 'development', 'huge', 'impact', 'india', 'information system', 'level', 'material', 'need', 'resource', 'role', 'study', 'system', 'trend']"
v0_092_call_for_proposals_under_dst_ic_impact_indo_canada_joint_research_programmes,"['advance', 'area', 'building', 'centre', 'city', 'design', 'efficiency', 'energy consumption', 'environment', 'impact', 'increase', 'material', 'need', 'number', 'opportunity', 'percent', 'population', 'result', 'smart city', 'support', 'system', 'use', 'world']"
v0_093_2019_brics_calls_for_proposals_for_multilateral_rd_projects,"['application', 'area', 'country', 'department', 'development', 'disaster', 'efficiency', 'foundation', 'india', 'information technology', 'major', 'material', 'priority', 'resource', 'support']"
v0_094_global_cooling_prize,"['application', 'challenge', 'condition', 'demand', 'department', 'environment', 'global warming', 'impact', 'india', 'institute', 'solution', 'threat', 'world', 'year']"
v0_095_wti_call_2019_research_technology_innovation_on_nexus_of_water_with_energy_food_and_health,"['application', 'challenge', 'country', 'demand', 'development', 'efficiency', 'field', 'lab', 'need', 'objective', 'process', 'solution', 'study', 'support', 'use']"
v0_096_ukieri_dst_partnership_development_workshops,"['application', 'british', 'country', 'department', 'development', 'education sector', 'india', 'result', 'support']"
v0_097_call_for_joint_project_proposals_2019___india_czech_bilateral_scientific_and_technological_cooperation,"['area', 'centre', 'country', 'department', 'development', 'india', 'institute', 'material', 'member', 'number', 'objective', 'priority']"
v0_098_call_for_india_ethiopia_innovation__technology_commercialization_programme_ieitcp,"['animal', 'application', 'area', 'department', 'development', 'environment', 'expert', 'impact', 'india', 'objective', 'process', 'step', 'year']"
v0_099_call_for_proposal_of_nidhi_prayas_program,['general']
v0_100_indo__poland_joint_research_programme_call_for_proposals_2019,"['application', 'area', 'country', 'department', 'form', 'india', 'year']"
