proposal,skill_categories
v0_041_announcement_for_inviting_applications_for_participation_in_3rd_brics_young_scientist_conclave_durban_south_africa25_29_june_2018,"['B.7.2', 'C.2.1', 'C.2.5', 'D.2.2', 'E.5', 'G.1.10', 'G.1.7', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.3', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'K.4.4']"
v0_042_ministry_of_mines___invites_science_and_technology_project_proposals,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_043_call_for_oriented_researchtechnology_development_proposals_on_materials_for_energy_storage_mes___2018,"['B.5.1', 'B.7.1', 'D.2.10', 'D.4.2', 'F.1.2', 'F.4.2', 'G.1.3', 'G.1.7', 'H.3.7', 'I.2.3', 'I.2.6', 'I.4.8', 'J.5', 'K.1']"
v0_044_call_for_proposals_for_establishing_technology_enabling_centres_tec_in_university_system,"['B.4.1', 'C.0', 'C.2.0', 'C.2.1', 'C.2.6', 'D.2.1', 'D.3.4', 'F.1.1', 'F.4.2', 'G.2.1', 'H.3.7', 'H.5.2', 'I.4.8', 'K.1']"
v0_045_call_for_proposals_under_state_science_and_technology_sstp__2018_19___call_date_18042018_to_31052018,"['C.0', 'C.1.3', 'D.2.11', 'E.3', 'E.5', 'F.1.1', 'F.3.3', 'F.4.2', 'G.1.10', 'G.1.7', 'G.2.1', 'G.2.3', 'G.3', 'I.1.4', 'I.2.1', 'I.2.6', 'I.3.5', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.1', 'J.5', 'K.1']"
v0_046_call_for_proposals_for_biomedical_device_and_technology_development_bdtd_tdt_division,"['B.5.1', 'C.5.3', 'D.2.10', 'D.2.11', 'D.2.9', 'F.2.1', 'F.4.2', 'H.5.2', 'I.4.8', 'J.1', 'J.5', 'K.1']"
v0_047_indo_canada_joint_call_for_proposals_improving_occupant_survivability_in_buildings_during_fires_using_innovations_in_structural_engineering_materials_science_and_cyber_physical_interfaces,"['B.4.5', 'B.5.1', 'B.5.3', 'B.6.2', 'B.7.3', 'D.2.1', 'D.2.10', 'D.2.7', 'D.2.m', 'D.4.6', 'G.1.3', 'G.2.1', 'H.2.2', 'H.3.7', 'H.5.2', 'I.1.3', 'I.2.6', 'I.5.1', 'I.5.5', 'I.6.7', 'J.1', 'K.6.5']"
v0_048_call_for_oriented_research__technology_development_proposals_on_hydrogen_and_fuel_cell_hfc___2018,"['B.5.1', 'B.7.1', 'D.2.10', 'D.3.1', 'D.3.4', 'F.4.2', 'G.1.10', 'G.1.7', 'G.2.3', 'G.3', 'H.3.4', 'H.3.7', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'I.6.7', 'K.1']"
v0_049_initiative_in_coordinated_programme_for_arid_semi_arid_and_cold_desert_regionsasacoder,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_050_india___thailand_joint_call_for_proposals,"['C.0', 'C.2.1', 'E.5', 'F.4.2', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.4.1']"
v0_051_dst_science_technology_and_innovation_policy_fellowships,"['B.4.1', 'C.2.6', 'C.5.3', 'D.2.1', 'D.2.2', 'D.3.3', 'D.3.4', 'D.4.4', 'D.4.6', 'F.1.1', 'F.2.1', 'F.4.2', 'G.1.10', 'G.1.6', 'G.2.1', 'G.2.3', 'H.2.2', 'I.1.4', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'J.1', 'J.5', 'K.6.5']"
v0_052_dst_daad_2018_call_for_personal_exchanges_between_india_and_germany,"['D.2.1', 'F.2.1', 'G.1.10', 'G.2.3', 'H.2.2', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'K.1']"
v0_053_joint_call_for_project_proposals_2018___indo_danish_research_and_innovation_cooperation_in_the_areas_of_renewable_energy,"['B.5.1', 'C.0', 'D.3.3', 'E.5', 'F.2.1', 'F.4.2', 'G.1.10', 'G.2.1', 'G.2.3', 'H.3.4', 'H.3.7', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.5', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5']"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,"['B.4.1', 'B.5.1', 'D.2.10', 'D.3.4', 'F.3.3', 'F.4.2', 'G.1.3', 'G.1.6', 'G.1.7', 'G.2.1', 'H.3.7', 'I.1.2', 'I.2.6', 'I.4.8', 'I.5.3']"
v0_055_india_belarus_joint_call_for_proposals,"['G.1.10', 'G.1.3', 'G.2.1', 'G.2.3', 'H.3.7', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'I.6.7', 'J.5']"
v0_056_call_for_enrollment_of_desalination_solution_providers,"['D.3.4', 'G.1.6', 'H.3.7', 'H.5.2', 'H.5.4', 'I.2.6', 'I.3.5', 'I.4.8', 'J.5']"
v0_057_india_japan_cooperative_science_programme_ijcsp,"['B.4.1', 'D.3.1', 'D.3.3', 'D.3.4', 'F.1.1', 'G.1.10', 'G.1.3', 'G.1.6', 'G.2.3', 'H.3.7', 'I.1.4', 'I.2.6', 'I.2.7', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.1']"
v0_058_dst_nwo_joint_call_on_urban_water_systems,"['B.5.1', 'C.0', 'C.5.3', 'D.2.1', 'D.2.10', 'D.3.3', 'F.4.2', 'G.1.3', 'G.1.7', 'G.2.1', 'H.3.7', 'I.1.1', 'I.2.6', 'I.3.5', 'I.4.8']"
v0_059_indo_russian_joint_research_call_for_proposals_2018,"['B.5.1', 'G.1.10', 'G.1.3', 'G.2.3', 'H.2.2', 'H.3.7', 'H.5.1', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5']"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,"['B.5.1', 'C.0', 'D.2.9', 'D.3.3', 'D.3.4', 'F.4.2', 'G.1.3', 'G.1.6', 'G.1.7', 'G.2.1', 'H.3.4', 'H.5.2', 'I.2.6', 'I.5.1', 'J.5']"
v0_061_call_for_rd_project_proposals_from_indian_pharma_industrynational_laboratoriesacademic_institutions,"['D.2.2', 'E.5', 'F.2.1', 'F.4.2', 'H.3.7', 'I.2.6', 'I.4.8', 'I.5.1', 'J.7', 'K.1']"
v0_062_dst_cnrs_france_joint_call_for_proposals,"['C.2.1', 'D.2.1', 'E.5', 'G.2.1', 'H.3.7', 'H.5.2', 'I.2.5', 'I.2.6', 'I.4.8', 'J.7', 'K.4.1']"
v0_063_call_for_entries___awsar_programme,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_064_call_for_papers___9th_national_teachers_science_congress,"['C.2.1', 'D.3.4', 'F.3.3', 'F.4.2', 'G.3', 'H.2.8', 'H.5.2', 'I.2.6', 'I.4.8']"
v0_065_indo_finnish_joint_call_for_mobility_of_researchers,"['B.5.1', 'C.0', 'C.2.1', 'D.2.7', 'E.3', 'E.5', 'F.2.1', 'G.1.10', 'G.2.1', 'G.2.3', 'H.3.7', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'K.1']"
v0_066_call_open_for_women_scientist_scheme_b_wos_b_2018_19,"['D.3.4', 'D.4.6', 'F.4.2', 'G.1.6', 'G.1.7', 'H.5.2', 'I.3.5', 'I.4.8', 'J.2', 'J.5', 'K.6.5']"
v0_067_dst_dfg_joint_call_inviting_joint_research_proposals,"['B.4.1', 'B.5.1', 'C.5.3', 'D.2.7', 'D.3.4', 'E.5', 'G.1.3', 'H.2.2', 'H.5.2', 'I.2.6', 'I.4.8', 'J.7', 'K.1']"
v0_068_call_for_proposal_cfp__2_under_india___israel_industrial_rd_and_technological_innovation_fund_i4f,"['B.4.1', 'D.2.9', 'D.3.4', 'F.3.2', 'F.4.2', 'I.2.6', 'K.1']"
v0_069_call___unescojapan_young_researchs_fellowship_programme_unescokeizo_obuchi_research_fellowships_programme_cycle_2018,"['B.7.2', 'F.1.1', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.3.8', 'I.4.9', 'I.5.4', 'I.6.3', 'K.4.1']"
v0_070_call_for_nominations_serb_distinguished_fellowship_last_date_upto_30_november_2018,"['C.1.3', 'F.2.1', 'G.1.3', 'I.4.4', 'I.5.1', 'J.5']"
v0_071_dst_dfg_awards_for_participation_in_the_69th_meeting_of_nobel_laureates__students_lindau_germany,"['C.0', 'D.4.6', 'E.5', 'F.3.3', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'J.1', 'K.6.5']"
