,nsf_proposal_links_v1,skill,code,terms,preprocessed_terms
31,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,design synthesis,"['B.2.1', 'B.3.2', 'B.6.1']","['Design Styles (C.1.1-2)', ' Calculator**', ' Parallel', ' Pipeline', 'Design Styles (D.4.2)', ' Associative memories', ' Cache memories', ' Interleaved memories**', ' Mass storage (e.g., magnetic, optical, RAID) (REVISED)', ' Primary memory', ' Sequential-access memory**', ' Shared memory', ' Virtual memory', 'Design Styles', ' Cellular arrays and automata', ' Combinational logic', ' Logic arrays', ' Memory control and access**', ' Memory used as logic**', ' Parallel circuits', ' Sequential circuits']","['design style', 'calculator', 'parallel', 'pipeline', 'design style', 'associative memory', 'cache memory', 'interleaved memory', 'mass storage eg magnetic optical raid revised', 'primary memory', 'sequentialaccess memory', 'shared memory', 'virtual memory', 'design style', 'cellular array automaton', 'combinational logic', 'logic array', 'memory control access', 'memory used logic', 'parallel circuit', 'sequential circuit']"
32,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,material unique,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
33,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,property,['I.2.9'],"['Robotics', ' Autonomous vehicles (NEW)', ' Commercial robots and applications (NEW)', ' Kinematics and dynamics (NEW)', ' Manipulators', ' Operator interfaces (NEW)', ' Propelling mechanisms', ' Sensors', ' Workcell organization and planning (NEW)']","['robotics', 'autonomous vehicle new', 'commercial robot application new', 'kinematics dynamic new', 'manipulator', 'operator interface new', 'propelling mechanism', 'sensor', 'workcell organization planning new']"
34,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,biomaterials,['A.0'],"['GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)']","['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']"
35,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,fundamental understanding,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
36,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,lead new,['I.2.6'],"['Learning (K.3.2)', ' Analogies', ' Concept learning', ' Connectionism and neural nets', ' Induction', ' Knowledge acquisition', ' Language acquisition', ' Parameter learning']","['learning', 'analogy', 'concept learning', 'connectionism neural net', 'induction', 'knowledge acquisition', 'language acquisition', 'parameter learning']"
37,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,engineering,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
38,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,physic,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
39,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,industry,['J.7'],"['COMPUTERS IN OTHER SYSTEMS (C.3)', ' Command and control', ' Consumer products', ' Industrial control', ' Military', ' Process control', ' Publishing', ' Real time']","['computer system', 'command control', 'consumer product', 'industrial control', 'military', 'process control', 'publishing', 'real time']"
40,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,science foundation,['H.2.8'],"['Database Applications', ' Data mining (NEW)', ' Image databases (NEW)', ' Scientific databases (NEW)', ' Spatial databases and GIS (NEW)', ' Statistical databases (NEW)']","['database application', 'data mining new', 'image database new', 'scientific database new', 'spatial database gi new', 'statistical database new']"
41,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,novel design,['H.2.1'],"['Logical Design', ' Data models', ' Normal forms', ' Schema and subschema']","['logical design', 'data model', 'normal form', 'schema subschema']"
42,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,synthesis characterization,['D.3.1'],"['Formal Definitions and Theory (D.2.1, F.3.1-2, F.4.2-3)', ' Semantics', ' Syntax']","['formal definition theory', 'semantics', 'syntax']"
