,researcher,skill,code,terms,preprocessed_terms
367,"Besmann, Theodore  M.",nuclear fuel waste material,['G.1'],['NUMERICAL ANALYSIS'],['numerical analysis']
368,"Besmann, Theodore  M.",waste material,['G.1.2'],"['Approximation', ' Approximation of surfaces and contours (NEW)', ' Chebyshev approximation and theory', ' Elementary function approximation', ' Fast Fourier transforms (FFT) (NEW)', ' Least squares approximation', ' Linear approximation', ' Minimax approximation and algorithms', ' Nonlinear approximation', ' Rational approximation', ' Special function approximations (NEW)', ' Spline and piecewise polynomial approximation', ' Wavelets and fractals (NEW)']","['approximation', 'approximation surface contour new', 'chebyshev approximation theory', 'elementary function approximation', 'fast fourier transforms fft new', 'least square approximation', 'linear approximation', 'minimax approximation algorithm', 'nonlinear approximation', 'rational approximation', 'special function approximation new', 'spline piecewise polynomial approximation', 'wavelet fractal new']"
369,"Besmann, Theodore  M.",fuel waste,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
370,"Besmann, Theodore  M.",nuclear fuel,['G.1'],['NUMERICAL ANALYSIS'],['numerical analysis']
371,"Bischoff, Jeff ",tissue scaffolding,['D.2.9'],"['Management (K.6.3, K.6.4)', ' Copyrights**', ' Cost estimation', ' Life cycle', ' Productivity', ' Programming teams', ' Software configuration management', ' Software process models (e.g., CMM, ISO, PSP) (NEW)', ' Software quality assurance (SQA)', ' Time estimation']","['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']"
372,"Bischoff, Jeff ",passive mechanic soft tissue,"['F.4.2', 'D.3.4']","['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems', 'Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system', 'processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
373,"Bischoff, Jeff ",modeling growth,['I.3.5'],"['Computational Geometry and Object Modeling', ' Boundary representations', ' Constructive solid geometry (CSG)**', ' Curve, surface, solid, and object representations', ' Geometric algorithms, languages, and systems', ' Hierarchy and geometric transformations', ' Modeling packages', ' Object hierarchies', ' Physically based modeling', ' Splines']","['computational geometry object modeling', 'boundary representation', 'constructive solid geometry csg', 'curve surface solid object representation', 'geometric algorithm language system', 'hierarchy geometric transformation', 'modeling package', 'object hierarchy', 'physically based modeling', 'spline']"
374,"Bischoff, Jeff ",modeling hypertrophic,['I.3.5'],"['Computational Geometry and Object Modeling', ' Boundary representations', ' Constructive solid geometry (CSG)**', ' Curve, surface, solid, and object representations', ' Geometric algorithms, languages, and systems', ' Hierarchy and geometric transformations', ' Modeling packages', ' Object hierarchies', ' Physically based modeling', ' Splines']","['computational geometry object modeling', 'boundary representation', 'constructive solid geometry csg', 'curve surface solid object representation', 'geometric algorithm language system', 'hierarchy geometric transformation', 'modeling package', 'object hierarchy', 'physically based modeling', 'spline']"
375,"Bischoff, Jeff ",constitutive testing modeling hypertrophic scar,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
376,"Bischoff, Jeff ",testing modeling,['D.2.5'],"['Testing and Debugging', ' Code inspections and walk-throughs', ' Debugging aids', ' Diagnostics', ' Distributed debugging (NEW)', ' Dumps**', ' Error handling and recovery', ' Monitors', ' Symbolic execution', ' Testing tools (e.g., data generators, coverage testing) (REVISED)', ' Tracing']","['testing debugging', 'code inspection walkthroughs', 'debugging aid', 'diagnostics', 'distributed debugging new', 'dump', 'error handling recovery', 'monitor', 'symbolic execution', 'testing tool eg data generator coverage testing revised', 'tracing']"
377,"Bischoff, Jeff ",framework modeling,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
378,"Bischoff, Jeff ",constitutive testing,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
379,"Bischoff, Jeff ",structural constitutive,['I.5.1'],"['Models', ' Deterministic**', ' Fuzzy set', ' Geometric', ' Neural nets', ' Statistical', ' Structural']","['model', 'deterministic', 'fuzzy set', 'geometric', 'neural net', 'statistical', 'structural']"
380,"Bischoff, Jeff ",biomedical engineering,['A.0'],"['GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)']","['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']"
381,"Bischoff, Jeff ",dr bischoff,['E.3'],"['DATA ENCRYPTION', ' Code breaking (NEW)', ' Data encryption standard (DES)**', ' Public key cryptosystems', ' Standards (e.g., DES, PGP, RSA) (NEW)']","['data encryption', 'code breaking new', 'data encryption standard de', 'public key cryptosystems', 'standard eg de pgp rsa new']"
382,"Bischoff, Jeff ",growth tissue,['H.4.1'],"['Office Automation (I.7)', ' Desktop publishing (NEW)', ' Equipment**', ' Groupware (NEW)', ' Spreadsheets', ' Time management (e.g., calendars, schedules)', ' Word processing', ' Workflow management (NEW)']","['office automation', 'desktop publishing new', 'equipment', 'groupware new', 'spreadsheet', 'time management eg calendar schedule', 'word processing', 'workflow management new']"
383,"Bischoff, Jeff ",hypertrophic scar,"['H.5.4', 'I.7.2']","['Hypertext/Hypermedia (I.7, J.7) (NEW)', ' Architectures (NEW)', ' Navigation (NEW)', ' Theory (NEW)', ' User issues (NEW)', 'Document Preparation', ' Desktop publishing', ' Format and notation', ' Hypertext/hypermedia', ' Index generation (NEW)', ' Languages and systems', ' Markup languages (NEW)', ' Multi/mixed media', ' Photocomposition/typesetting', ' Scripting languages (NEW)', ' Standards']","['hypertexthypermedia new', 'architecture new', 'navigation new', 'theory new', 'user issue new', 'document preparation', 'desktop publishing', 'format notation', 'hypertexthypermedia', 'index generation new', 'language system', 'markup language new', 'multimixed medium', 'photocompositiontypesetting', 'scripting language new', 'standard']"
384,"Bischoff, Jeff ",analysis structural constitutive evolution artificial tissue scaffolding,['I.1.2'],"['Algorithms (F.2.1-2)', ' Algebraic algorithms', ' Analysis of algorithms', ' Nonalgebraic algorithms']","['algorithm', 'algebraic algorithm', 'analysis algorithm', 'nonalgebraic algorithm']"
385,"Bischoff, Jeff ",passive mechanic,"['F.4.2', 'D.3.4']","['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems', 'Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system', 'processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
386,"Bischoff, Jeff ",bischoff biomedical,['A.0'],"['GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)']","['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']"
387,"Bischoff, Jeff ",theoretical framework modeling growth tissue,['H.5.3'],"['Group and Organization Interfaces', ' Asynchronous interaction', ' Collaborative computing (NEW)', ' Computer-supported cooperative work (NEW)', ' Evaluation/methodology', ' Organizational design', ' Synchronous interaction', ' Theory and models', ' Web-based interaction (NEW)']","['group organization interface', 'asynchronous interaction', 'collaborative computing new', 'computersupported cooperative work new', 'evaluationmethodology', 'organizational design', 'synchronous interaction', 'theory model', 'webbased interaction new']"
388,"Bischoff, Jeff ",constitutive evolution,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
389,"Bischoff, Jeff ",soft tissue,['D'],[],[]
390,"Bischoff, Jeff ",theoretical framework,['H.5.3'],"['Group and Organization Interfaces', ' Asynchronous interaction', ' Collaborative computing (NEW)', ' Computer-supported cooperative work (NEW)', ' Evaluation/methodology', ' Organizational design', ' Synchronous interaction', ' Theory and models', ' Web-based interaction (NEW)']","['group organization interface', 'asynchronous interaction', 'collaborative computing new', 'computersupported cooperative work new', 'evaluationmethodology', 'organizational design', 'synchronous interaction', 'theory model', 'webbased interaction new']"
391,"Bischoff, Jeff ",dr bischoff biomedical engineering,['E.3'],"['DATA ENCRYPTION', ' Code breaking (NEW)', ' Data encryption standard (DES)**', ' Public key cryptosystems', ' Standards (e.g., DES, PGP, RSA) (NEW)']","['data encryption', 'code breaking new', 'data encryption standard de', 'public key cryptosystems', 'standard eg de pgp rsa new']"
392,"Bischoff, Jeff ",mechanic soft,['F.3.1'],"['Specifying and Verifying and Reasoning about Programs (D.2.1, D.2.4, D.3.1, E.1)', ' Assertions', ' Invariants', ' Logics of programs', ' Mechanical verification', ' Pre- and post-conditions', ' Specification techniques']","['specifying verifying reasoning program', 'assertion', 'invariant', 'logic program', 'mechanical verification', 'pre postconditions', 'specification technique']"
393,"Bischoff, Jeff ",evolution artificial,['D.2.2'],"['Design Tools and Techniques (REVISED)', ' Computer-aided software engineering (CASE)', ' Decision tables', ' Evolutionary prototyping (NEW)', ' Flow charts', ' Modules and interfaces', ' Object-oriented design methods (NEW)', ' Petri nets', ' Programmer workbench**', ' Software libraries', ' State diagrams (NEW)', ' Structured programming**', ' Top-down programming**', ' User interfaces']","['design tool technique revised', 'computeraided software engineering case', 'decision table', 'evolutionary prototyping new', 'flow chart', 'module interface', 'objectoriented design method new', 'petri net', 'programmer workbench', 'software library', 'state diagram new', 'structured programming', 'topdown programming', 'user interface']"
394,"Bischoff, Jeff ",analysis structural,['I.1.2'],"['Algorithms (F.2.1-2)', ' Algebraic algorithms', ' Analysis of algorithms', ' Nonalgebraic algorithms']","['algorithm', 'algebraic algorithm', 'analysis algorithm', 'nonalgebraic algorithm']"
395,"Bischoff, Jeff ",artificial tissue,['H.5.1'],"['Multimedia Information Systems', ' Animations', ' Artificial, augmented, and virtual realities (REVISED)', ' Audio input/output', ' Evaluation/methodology', ' Hypertext navigation and maps**', ' Video (e.g., tape, disk, DVI)']","['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']"
396,"Blanchette, James  Otto",sc fall,['H.2.1'],"['Logical Design', ' Data models', ' Normal forms', ' Schema and subschema']","['logical design', 'data model', 'normal form', 'schema subschema']"
397,"Blanchette, James  Otto",administered orally,['J.1'],"['ADMINISTRATIVE DATA PROCESSING', ' Business', ' Education', ' Financial (e.g., EFTS)', ' Government', ' Law', ' Manufacturing', ' Marketing', ' Military']","['administrative data processing', 'business', 'education', 'financial eg eft', 'government', 'law', 'manufacturing', 'marketing', 'military']"
398,"Blanchette, James  Otto",genetic engineering,"['F.1.0', 'H.0', 'I.0', 'B.6.0', 'F.3.0', 'D.1.0', 'A.0', 'C.1.0', 'B.2.0', 'I.6.0', 'H.3.0', 'K.3.0', 'D.4.0', 'B.3.0', 'I.3.0', 'B.5.0', 'I.4.0', 'B.7.0', 'C.2.0', 'B.1.0', 'G.2.0', 'K.7.0', 'G.0', 'I.5.0', 'D.3.0', 'H.4.0', 'K.6.0', 'K.5.0', 'F.0', 'B.4.0', 'F.4.0', 'I.7.0', 'C.0', 'F.2.0', 'B.0', 'I.1.0', 'H.1.0', 'E.0', 'D.2.0', 'H.5.0', 'C.5.0', 'K.4.0', 'J.0', 'H.2.0', 'G.1.0', 'K.0', 'K.8.0', 'D.0', 'I.2.0']","['General', 'GENERAL', 'GENERAL', 'General', 'General', 'General', 'GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', ' Image displays', ' Image processing software', 'General', 'General', ' Data communications', ' Open Systems Interconnection reference model (OSI)', ' Security and protection (e.g., firewalls) (REVISED)', 'General', 'General', 'General', 'GENERAL', 'General', 'General', ' Standards', 'General', 'General', ' Economics', 'General', 'GENERAL', 'General', 'General', 'General', 'GENERAL', ' Hardware/software interfaces', ' Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', ' Modeling of computer architecture (NEW)', ' System architectures', ' Systems specification methodology', 'General', 'GENERAL', 'General', 'General', 'GENERAL', 'General (K.5.1)', ' Protection mechanisms', ' Standards', 'General', 'General', 'General', 'GENERAL', 'General', ' Security, integrity, and protection**', 'General', ' Computer arithmetic', ' Conditioning (and ill-conditioning) (REVISED)', ' Error analysis', ' Interval arithmetic (NEW)', ' Multiple precision arithmetic (NEW)', ' Numerical algorithms', ' Parallel algorithms', ' Stability (and instability)', 'GENERAL', 'General', ' Games', 'GENERAL', 'General', ' Cognitive simulation', ' Philosophical foundations']","['general', 'general', 'general', 'general', 'general', 'general', 'general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'image display', 'image processing software', 'general', 'general', 'data communication', 'open system interconnection reference model osi', 'security protection eg firewall revised', 'general', 'general', 'general', 'general', 'general', 'general', 'standard', 'general', 'general', 'economics', 'general', 'general', 'general', 'general', 'general', 'general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology', 'general', 'general', 'general', 'general', 'general', 'general', 'protection mechanism', 'standard', 'general', 'general', 'general', 'general', 'general', 'security integrity protection', 'general', 'computer arithmetic', 'conditioning illconditioning revised', 'error analysis', 'interval arithmetic new', 'multiple precision arithmetic new', 'numerical algorithm', 'parallel algorithm', 'stability instability', 'general', 'general', 'game', 'general', 'general', 'cognitive simulation', 'philosophical foundation']"
399,"Blanchette, James  Otto",cell aggregate,['B.6.1'],"['Design Styles', ' Cellular arrays and automata', ' Combinational logic', ' Logic arrays', ' Memory control and access**', ' Memory used as logic**', ' Parallel circuits', ' Sequential circuits']","['design style', 'cellular array automaton', 'combinational logic', 'logic array', 'memory control access', 'memory used logic', 'parallel circuit', 'sequential circuit']"
400,"Blanchette, James  Otto",skiles l,['D.2.9'],"['Management (K.6.3, K.6.4)', ' Copyrights**', ' Cost estimation', ' Life cycle', ' Productivity', ' Programming teams', ' Software configuration management', ' Software process models (e.g., CMM, ISO, PSP) (NEW)', ' Software quality assurance (SQA)', ' Time estimation']","['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']"
401,"Blanchette, James  Otto",main streetcolumbia,['D.4.2'],"['Storage Management', ' Allocation/deallocation strategies', ' Distributed memories', ' Garbage collection (NEW)', ' Main memory', ' Secondary storage', ' Segmentation**', ' Storage hierarchies', ' Swapping**', ' Virtual memory']","['storage management', 'allocationdeallocation strategy', 'distributed memory', 'garbage collection new', 'main memory', 'secondary storage', 'segmentation', 'storage hierarchy', 'swapping', 'virtual memory']"
402,"Blanchette, James  Otto",transplantation genetic,['I.2.10'],"['Vision and Scene Understanding (I.4.8, I.5)', ' 3D/stereo scene analysis (NEW)', ' Architecture and control structures**', ' Intensity, color, photometry, and thresholding', ' Modeling and recovery of physical attributes', ' Motion', ' Perceptual reasoning', ' Representations, data structures, and transforms', ' Shape', ' Texture', ' Video analysis (NEW)']","['vision scene understanding', 'scene analysis new', 'architecture control structure', 'intensity color photometry thresholding', 'modeling recovery physical attribute', 'motion', 'perceptual reasoning', 'representation data structure transforms', 'shape', 'texture', 'video analysis new']"
403,"Blanchette, James  Otto",sc fall area design cell instructive material,['H.2.1'],"['Logical Design', ' Data models', ' Normal forms', ' Schema and subschema']","['logical design', 'data model', 'normal form', 'schema subschema']"
404,"Blanchette, James  Otto",design cell,"['B.1.2', 'B.5.2', 'B.7.2', 'B.6.3']","['Control Structure Performance Analysis and Design Aids', ' Automatic synthesis**', ' Formal models**', ' Simulation**', 'Design Aids', ' Automatic synthesis', ' Hardware description languages', ' Optimization', ' Simulation', ' Verification', 'Design Aids', ' Graphics', ' Layout', ' Placement and routing', ' Simulation', ' Verification', 'Design Aids', ' Automatic synthesis', ' Hardware description languages', ' Optimization', ' Simulation', ' Switching theory', ' Verification']","['control structure performance analysis design aid', 'automatic synthesis', 'formal model', 'simulation', 'design aid', 'automatic synthesis', 'hardware description language', 'optimization', 'simulation', 'verification', 'design aid', 'graphic', 'layout', 'placement routing', 'simulation', 'verification', 'design aid', 'automatic synthesis', 'hardware description language', 'optimization', 'simulation', 'switching theory', 'verification']"
405,"Blanchette, James  Otto",mesenchymal stem,['D.4.4'],"['Communications Management (C.2)', ' Buffering', ' Input/output', ' Message sending', ' Network communication', ' Terminal management**']","['communication management', 'buffering', 'inputoutput', 'message sending', 'network communication', 'terminal management']"
406,"Blanchette, James  Otto",angiogenic behavior,['I.2.6'],"['Learning (K.3.2)', ' Analogies', ' Concept learning', ' Connectionism and neural nets', ' Induction', ' Knowledge acquisition', ' Language acquisition', ' Parameter learning']","['learning', 'analogy', 'concept learning', 'connectionism neural net', 'induction', 'knowledge acquisition', 'language acquisition', 'parameter learning']"
407,"Blanchette, James  Otto",stem cell,['I.4.8'],"['Scene Analysis', ' Color (NEW)', ' Depth cues', ' Motion (NEW)', ' Object recognition (NEW)', ' Photometry', ' Range data', ' Sensor fusion', ' Shading (NEW)', ' Shape (NEW)', ' Stereo', ' Surface fitting (NEW)', ' Time-varying imagery', ' Tracking (NEW)']","['scene analysis', 'color new', 'depth cue', 'motion new', 'object recognition new', 'photometry', 'range data', 'sensor fusion', 'shading new', 'shape new', 'stereo', 'surface fitting new', 'timevarying imagery', 'tracking new']"
408,"Blanchette, James  Otto",tracking hypoxic,['I.4.8'],"['Scene Analysis', ' Color (NEW)', ' Depth cues', ' Motion (NEW)', ' Object recognition (NEW)', ' Photometry', ' Range data', ' Sensor fusion', ' Shading (NEW)', ' Shape (NEW)', ' Stereo', ' Surface fitting (NEW)', ' Time-varying imagery', ' Tracking (NEW)']","['scene analysis', 'color new', 'depth cue', 'motion new', 'object recognition new', 'photometry', 'range data', 'sensor fusion', 'shading new', 'shape new', 'stereo', 'surface fitting new', 'timevarying imagery', 'tracking new']"
409,"Blanchette, James  Otto",tipton,['D.2.9'],"['Management (K.6.3, K.6.4)', ' Copyrights**', ' Cost estimation', ' Life cycle', ' Productivity', ' Programming teams', ' Software configuration management', ' Software process models (e.g., CMM, ISO, PSP) (NEW)', ' Software quality assurance (SQA)', ' Time estimation']","['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']"
410,"Blanchette, James  Otto",area design,['J.5'],"['ARTS AND HUMANITIES', ' Architecture (NEW)', ' Arts, fine and performing**', ' Fine arts (NEW)', ' Language translation', ' Linguistics', ' Literature', ' Music**', ' Performing arts (e.g., dance, music) (NEW)']","['art humanity', 'architecture new', 'art fine performing', 'fine art new', 'language translation', 'linguistics', 'literature', 'music', 'performing art eg dance music new']"
411,"Blanchette, James  Otto",cell cell,['B.6.1'],"['Design Styles', ' Cellular arrays and automata', ' Combinational logic', ' Logic arrays', ' Memory control and access**', ' Memory used as logic**', ' Parallel circuits', ' Sequential circuits']","['design style', 'cellular array automaton', 'combinational logic', 'logic array', 'memory control access', 'memory used logic', 'parallel circuit', 'sequential circuit']"
412,"Blanchette, James  Otto",impact induction,['I.5.5'],"['Implementation (C.3)', ' Interactive systems', ' Special architectures']","['implementation', 'interactive system', 'special architecture']"
413,"Blanchette, James  Otto",instructive material,['C.0'],"['GENERAL', ' Hardware/software interfaces', ' Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', ' Modeling of computer architecture (NEW)', ' System architectures', ' Systems specification methodology']","['general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology']"
414,"Blanchette, James  Otto",system expand,['K.6.4'],"['System Management', ' Centralization/decentralization', ' Management audit', ' Quality assurance']","['system management', 'centralizationdecentralization', 'management audit', 'quality assurance']"
415,"Blanchette, James  Otto",brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation,['C.2.5'],"['Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['local widearea network revised', 'access scheme', 'bus']"
416,"Blanchette, James  Otto",islet cell,['D.2.9'],"['Management (K.6.3, K.6.4)', ' Copyrights**', ' Cost estimation', ' Life cycle', ' Productivity', ' Programming teams', ' Software configuration management', ' Software process models (e.g., CMM, ISO, PSP) (NEW)', ' Software quality assurance (SQA)', ' Time estimation']","['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']"
417,"Blanchette, James  Otto",geometry culture,['I.5.1'],"['Models', ' Deterministic**', ' Fuzzy set', ' Geometric', ' Neural nets', ' Statistical', ' Structural']","['model', 'deterministic', 'fuzzy set', 'geometric', 'neural net', 'statistical', 'structural']"
418,"Blanchette, James  Otto",asc spheroid,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
419,"Blanchette, James  Otto",extending proper,['D.2.7'],"['Distribution, Maintenance, and Enhancement (REVISED)', ' Corrections**', ' Documentation', ' Enhancement**', ' Extensibility**', ' Portability', ' Restructuring, reverse engineering, and reengineering (REVISED)', ' Version control']","['distribution maintenance enhancement revised', 'correction', 'documentation', 'enhancement', 'extensibility', 'portability', 'restructuring reverse engineering reengineering revised', 'version control']"
420,"Blanchette, James  Otto",function pancreatic,['D.3.3'],"['Language Constructs and Features (E.2)', ' Abstract data types', ' Classes and objects (NEW)', ' Concurrent programming structures', ' Constraints (NEW)', ' Control structures', ' Coroutines', ' Data types and structures', ' Dynamic storage management', ' Frameworks (NEW)', ' Inheritance (NEW)', ' Input/output', ' Modules, packages', ' Patterns (NEW)', ' Polymorphism (NEW)', ' Procedures, functions, and subroutines', ' Recursion']","['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']"
421,"Blanchette, James  Otto",pancreatic islet,"['F.4.2', 'D.3.4']","['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems', 'Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system', 'processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
422,"Blanchette, James  Otto",behavior endothelial,['K.6.2'],"['Installation Management', ' Benchmarks', ' Computer selection', ' Computing equipment management', ' Performance and usage measurement', ' Pricing and resource allocation']","['installation management', 'benchmark', 'computer selection', 'computing equipment management', 'performance usage measurement', 'pricing resource allocation']"
423,"Blanchette, James  Otto",rucker,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
