,researcher,skill,code,terms,preprocessed_terms
3136,"Lessner , Susan M.",tissue failure,['D.2.9'],"['Management (K.6.3, K.6.4)', ' Copyrights**', ' Cost estimation', ' Life cycle', ' Productivity', ' Programming teams', ' Software configuration management', ' Software process models (e.g., CMM, ISO, PSP) (NEW)', ' Software quality assurance (SQA)', ' Time estimation']","['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']"
3137,"Lessner , Susan M.",role use,['C.2.6'],"['Internetworking (C.2.2) (NEW)', ' Routers (NEW)', ' Standards (e.g., TCP/IP) (NEW)']","['internetworking new', 'router new', 'standard eg tcpip new']"
3138,"Lessner , Susan M.",develop method,['F.4.2'],"['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system']"
3139,"Lessner , Susan M.",acute cardiovascular,"['K.3.2', 'K.3.m']","['Computer and Information Science Education', ' Accreditation (NEW)', ' Computer science education', ' Curriculum', ' Information systems education', ' Literacy (NEW)', ' Self-assessment', 'Miscellaneous', ' Accreditation**', ' Computer literacy**']","['computer information science education', 'accreditation new', 'computer science education', 'curriculum', 'information system education', 'literacy new', 'selfassessment', 'miscellaneous', 'accreditation', 'computer literacy']"
3140,"Lessner , Susan M.",human endarterectomy,['K.4.1'],"['Public Policy Issues', ' Abuse and crime involving computers (NEW)', ' Computer-related health issues (NEW)', ' Ethics (NEW)', ' Human safety', ' Intellectual property rights (NEW)', ' Privacy', ' Regulation', ' Transborder data flow', ' Use/abuse of power (NEW)']","['public policy issue', 'abuse crime involving computer new', 'computerrelated health issue new', 'ethic new', 'human safety', 'intellectual property right new', 'privacy', 'regulation', 'transborder data flow', 'useabuse power new']"
3141,"Lessner , Susan M.",factor plaque,['F.2.1'],"['Numerical Algorithms and Problems (G.1, G.4, I.1)', ' Computation of transforms (e.g., fast Fourier transform)', ' Computations in finite fields', ' Computations on matrices', ' Computations on polynomials', ' Number-theoretic computations (e.g., factoring, primality testing)']","['numerical algorithm problem', 'computation transforms eg fast fourier transform', 'computation finite field', 'computation matrix', 'computation polynomial', 'numbertheoretic computation eg factoring primality testing']"
3142,"Lessner , Susan M.",examine relationship,['I.4.2'],"['Compression (Coding) (E.4)', ' Approximate methods', ' Exact coding**']","['compression coding', 'approximate method', 'exact coding']"
3143,"Lessner , Susan M.",garner ferry,"['D.4.2', 'D.3.4']","['Storage Management', ' Allocation/deallocation strategies', ' Distributed memories', ' Garbage collection (NEW)', ' Main memory', ' Secondary storage', ' Segmentation**', ' Storage hierarchies', ' Swapping**', ' Virtual memory', 'Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['storage management', 'allocationdeallocation strategy', 'distributed memory', 'garbage collection new', 'main memory', 'secondary storage', 'segmentation', 'storage hierarchy', 'swapping', 'virtual memory', 'processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
3144,"Lessner , Susan M.",specimen examine,['I.5.5'],"['Implementation (C.3)', ' Interactive systems', ' Special architectures']","['implementation', 'interactive system', 'special architecture']"
3145,"Lessner , Susan M.",order develop method reduce incidence plaque rupture biological side,['G.1.7'],"['Ordinary Differential Equations', ' Boundary value problems', ' Chaotic systems (NEW)', ' Convergence and stability', ' Differential-algebraic equations (NEW)', ' Error analysis', ' Finite difference methods (NEW)', ' Initial value problems', ' Multistep and multivalue methods (REVISED)', ' One-step (single step) methods (REVISED)', ' Stiff equations']","['ordinary differential equation', 'boundary value problem', 'chaotic system new', 'convergence stability', 'differentialalgebraic equation new', 'error analysis', 'finite difference method new', 'initial value problem', 'multistep multivalue method revised', 'onestep single step method revised', 'stiff equation']"
