,all_skills
288,predictive maintenance
289,wa professor mechanical aerospace engineering north state
290,department energy
291,foundation various
292,sc bayoumi
293,associate dean
294,published journal
295,experience currently
296,bayoumi ha
297,sc
298,room berge focus improving understanding physical
299,added product
300,carbon sequestration
301,energy yield
302,remediation technology
303,chemical
304,main street
305,value added
306,lead carbon
307,subsequent evaluation
308,production specific
309,development subsequent
310,conversion municipal
311,disposed nanomaterials
312,technique lead
313,landfill thermochemical
314,bioreactor landfill
315,thermochemical conversion
316,manipulated promote
317,yield waste
318,stream resource
319,stream leachate
320,evaluation innovative
321,pharmaceutical
322,disrupting compound
323,care product
324,process development
325,resource recovery
326,room berge
327,biological process
328,waste stream
329,berge focus
330,personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology
331,improving understanding
332,specific area
333,process manipulated
334,innovative groundwater
335,energy generation
336,endocrine disrupting
337,treatment technique
338,increasing energy
339,compound bioreactor
340,personal care
341,waste increasing
342,focus improving
343,sustainable waste
344,promote sustainable
345,area exploration
346,groundwater remediation
347,municipal solid
348,understanding physical
349,fate disposed
350,treatment process
351,product endocrine
352,solid waste
353,recovery waste
354,leachate treatment
355,waste treatment
356,biological process manipulated promote sustainable waste treatment technique lead carbon sequestration
357,value added product production specific area exploration fate disposed nanomaterials
358,exploration fate
359,product production
360,waste material
361,nuclear fuel
362,fuel waste
363,nuclear fuel waste material
364,constitutive testing modeling hypertrophic scar
365,analysis structural
366,soft tissue
367,growth tissue
368,passive mechanic
369,testing modeling
370,tissue scaffolding
371,dr bischoff
372,framework modeling
373,bischoff biomedical
374,dr bischoff biomedical engineering
375,artificial tissue
376,constitutive evolution
377,modeling hypertrophic
378,structural constitutive
379,analysis structural constitutive evolution artificial tissue scaffolding
380,mechanic soft
381,passive mechanic soft tissue
382,constitutive testing
383,theoretical framework modeling growth tissue
384,hypertrophic scar
385,evolution artificial
386,theoretical framework
387,modeling growth
388,cell aggregate
389,following transplantation
390,hydrogel material
391,behavior endothelial
392,fall area
393,instructive material
394,spheroid geometry
395,chemotherapeutics administered
396,sc fall
397,transplantation mesenchymal
398,vascularization skiles
399,spectrum chemotherapeutics
400,genetic engineering
401,room main streetcolumbia
402,hanna
403,three dimensional
404,cell transplantation
405,responsive delivery
406,asc spheroid
407,function pancreatic
408,cell enhance
409,design cell
410,expand spectrum
411,material tracking
412,room main
413,induction pre
414,design instructive
415,cell cell
416,instructive hydrogel
417,administered orally
418,pancreatic islet
419,engineering specific
420,delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l
421,transplantation genetic
422,specific project
423,enhance vascularization
424,rucker
425,aggregate transplantation
426,geometry culture
427,brougham cook
428,impact induction
429,therapeutic tissue
430,delivery therapeutic
431,system expand
432,proper function
433,differentially impact
434,angiogenic behavior
435,extending proper
436,cell following
437,blanchette asc
438,endothelial cell
439,sc fall area design cell instructive material
440,cell instructive
441,delivery system
442,project developing
443,islet cell
444,engineering design
445,tracking hypoxic
446,pre angiogenic
447,orally extending
448,dimensional cell
449,mesenchymal stem
450,brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation
451,cook blanchette
452,oxygenation differentially
453,hypoxic signaling
454,stem cell
455,signaling three
456,tipton
457,developing responsive
458,area design
459,skiles l
460,tissue engineering
461,culture oxygenation
462,network improve
463,science computer
464,interaction boltin
465,artificial neural
466,science focus
467,industry data
468,field employ
469,supervised unsupervised machine learning
470,information data
471,analytical technique
472,application dimensional
473,technique including
474,evaluate translational
475,culley jm
476,supervised unsupervised
477,chemical mass
478,study jmir
479,press boltin
480,incident edit
481,employ technique
482,focus categorized
483,valdes
484,well predictive
485,support tool
486,neural network
487,jmir mhealth
488,department mass
489,emergency department
490,incident article
491,valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth
492,information science computer science focus categorized two broad area one
493,statistical analysis
494,well predictive modeling two
495,statistic
496,broad area
497,sophisticated algorithm
498,predictive modeling
499,tool created
500,categorized two
501,science interdisciplinary
502,article press
503,culley
504,healthcare industry
505,tool emergency
506,valafar application
507,mobile decision
508,many discipline
509,data mining
510,data utilizing
511,latest software
512,informatic tool
513,unsupervised machine
514,valafar mobile
515,dimensional reduction
516,valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin
517,system healthcare
518,using latest
519,data science
520,created deploy
521,dimension reduction
522,improve emergency
523,algorithm using
524,technique many
525,development human
526,area one
527,human computer
528,design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin
529,focus developing
530,translational informatic
531,design evaluate
532,casualty incident
533,including data
534,initial study
535,interdisciplinary field
536,decision support
537,modeling two
538,developing decision
539,software development
540,discipline mathematics
541,support system
542,computer science
543,utilizing analytical
544,department triage
545,boltin focus
546,information science
547,glean information
548,deploy sophisticated
549,two broad
550,glean information data utilizing analytical technique including data mining
551,triage chemical
552,reduction artificial
553,computer interaction
554,edit initial
555,mass casualty
556,dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics
557,mhealth uhealth
558,dr boltin
559,transformer optimization
560,medium frequency
561,medium frequency transformer optimization
562,power grid
563,electronics reliability
564,grid resiliency
565,frequency transformer
566,power electronics
567,power grid resiliency
568,power electronics reliability
569,article appeared journal computer information system
570,article appeared
571,director master
572,appeared journal
573,madison co
574,suite
575,computer information
576,north texas
577,information technology
578,technology program
579,president organizational
580,managementitec mainframe
581,byte
582,new york
583,journal computer
584,james madison
585,journal past president organizational system association editor information technology
586,european journal
587,texas state
588,sage publication
589,college engineering
590,legislative study
591,past president
592,sc director
593,mainframe systemsitec
594,robert brookshire
595,information system
596,james madison co author using microcomputer sage publication
597,study quarterly
598,system association
599,organizational system
600,systemsitec linux
601,programming administration
602,european journal operational
603,association editor
604,editor information
605,performance journal
606,linux programming
607,co author
608,legislative study quarterly
609,journal operational
610,record managementitec
611,virginia
612,engineering computing
613,microcomputer sage
614,north texas state
615,social science computer review
616,integrated information
617,taught new
618,health information
619,professor integrated
620,computer review
621,master health
622,innovation assembly
623,brookshire professor
624,ha taught
625,columbia
626,journal past
627,journal itec
628,assembly street
629,sc robert brookshire professor integrated information technology department college engineering computing
630,program ha
631,department college
632,using microcomputer
633,learning
634,social science
635,technology department
636,sc robert
637,itec record
638,innovation assembly street
639,author using
640,sc director master health information technology program ha taught new york
641,performance journal itec record managementitec mainframe systemsitec linux programming administration
642,vtb smart
643,developer virtual
644,practice responsibility
645,plan integrating
646,design project
647,responsibility gathering
648,test bed
649,stakeholder navy
650,best practice
651,addition writing
652,virtual test
653,earnie lead
654,integrating requirement
655,including mentoring student programming professional development best practice responsibility gathering stakeholder navy
656,mentoring student
657,activity development
658,industry requirement
659,including mentoring
660,requirement developing
661,ship system
662,private industry requirement developing plan integrating requirement consortium education
663,supervises daily activity development team project
664,lead software
665,daily activity
666,development team
667,gathering stakeholder
668,software developer
669,requirement consortium
670,system design
671,developing plan
672,team project
673,writing code
674,student programming
675,esrdc consortium
676,development best
677,private industry
678,professional development
679,programming professional
680,bed vtb
681,smart ship
682,supervises daily
683,earnie lead software developer virtual test bed vtb smart ship system design project addition writing code
684,project addition
685,consortium education
686,election data
687,digital humanity
688,data support
689,broad class
690,algorithm architecture
691,ida cc
692,efficiency one
693,oriented computation
694,custom computing
695,fpgas compute
696,state digital
697,discrete mathematics text string processing
698,one app
699,multiprecision arithmetic
700,work ward
701,devised bit
702,neighborhood adjacent
703,architecture performing
704,floating point
705,data discovering
706,toward floating
707,xilinx fpgas
708,sc role
709,buell recent
710,performing computation
711,system digital
712,ward one
713,reduced efficiency
714,urban renewal
715,engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation
716,characteristic improvement
717,processing computation
718,team auditing
719,compute element
720,discrete mathematics
721,problem process
722,significantly reduced
723,absence data
724,problem custom
725,one often
726,pedagogy professor
727,oriented toward
728,necessary another
729,image processing
730,arithmetic often
731,renewal columbia
732,programmed vhdl
733,vote absence
734,critical interactive
735,discovering problem
736,ha electronic
737,done string
738,architecture oriented
739,bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl
740,class problem
741,part team
742,interactive iphone
743,columbia sc
744,building custom
745,process lead
746,support vote
747,analysis first
748,essay linguistic
749,humanity ha
750,image processing computation
751,past included
752,resident ward
753,point computation
754,directed splash
755,professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity
756,cc directed
757,english essay
758,bit bit
759,application programmed
760,computational problem
761,critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent
762,necessary another broad class problem custom computing machine devised bit oriented computation done string processing
763,one neighborhood
764,text string
765,number theory
766,auditing election
767,included algorithm
768,machine devised
769,writing pedagogy
770,uncounted vote
771,machine used
772,engaged analysis
773,fast integer
774,need substantial
775,electronic voting
776,problem number
777,role evicting
778,often need
779,computing machine
780,certified state
781,linguistic characteristic
782,project building
783,element whose
784,computation normally
785,year english
786,one class
787,iphone urban
788,first year
789,mathematics text
790,substantial parallelism
791,normally perform
792,traditional computer
793,bit arithmetic
794,recent work
795,vote total
796,total certified
797,computation done
798,co supervising work ward one app
799,evicting resident
800,supervising work
801,traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic
802,often multiprecision
803,string processing
804,professor buell
805,perform significantly
806,ha part
807,buell past
808,another broad
809,lead uncounted
810,one often need substantial parallelism
811,co supervising
812,improvement writing
813,problem computational
814,whose application
815,voting system
816,used xilinx
817,bit oriented
818,often sufficient
819,accuracy ida
820,often multiprecision arithmetic
821,integer arithmetic
822,work ha
823,splash project
824,sufficient accuracy
825,theory fast
826,complete list
827,experimental mechanic
828,dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic
829,society engineering
830,dynamic numerical
831,model updating
832,earthquake engineering structural control dr caicedo member american society civil engineer
833,society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website
834,area structural
835,project publication
836,emphasis structural
837,list project
838,area specialization
839,structural control
840,educator complete
841,engineering emphasis
842,visit structural
843,lab website
844,numerical experimental
845,earthquake engineering
846,network earthquake
847,engineering educator
848,publication visit
849,control dr
850,engineering structural
851,brown jr
852,infrastructure lab
853,structural dynamic
854,earthquake engineering institute
855,dynamic intelligent
856,civil engineer
857,engineering simulation
858,intelligent infrastructure
859,engineering institute
860,society civil
861,specialization structural
862,caicedo area
863,member american
864,dr caicedo
865,experimental area
866,caicedo member
867,society experimental
868,mechanic american
869,jr network
870,structural engineering
871,george brown
872,george brown jr network earthquake engineering simulation
873,american society
874,design pwr
875,structural thermal
876,core component
877,simulation process
878,fuel core
879,hydraulic design
880,carrilho modeling
881,dr leo
882,leo carrilho
883,using fea cfd method
884,cfd method
885,using fea
886,fea cfd
887,dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component
888,pwr nuclear
889,modeling simulation
890,thermal hydraulic
891,process phenomenon
892,phenomenon structural
893,matrix heart
894,seen alcohol
895,non muscle
896,abuse result
897,result myocardial
898,elaborate extracellular
899,alcohol seen
900,largely cardiac
901,myocardial fibrosis
902,road columbia
903,composed contractile
904,myocardial infarction
905,room garner
906,contractile muscle
907,infarction increased
908,cardiovascular performance
909,known affect
910,chronic exposure
911,ferry road
912,stiffer myocardium
913,interconnected supported
914,examine regulation
915,dr carver
916,function extracellular
917,lab focused
918,fibroblast cardiovascular
919,performance correlated
920,affect cardiovascular
921,fibrosis result
922,density organization
923,focused understanding
924,associated hypertension
925,school medicine
926,commonly associated
927,ventricular wall
928,matrix seen
929,cell non
930,heart produced
931,sc ventricular
932,cell others
933,extracellular matrix
934,behavior gene
935,type including
936,organization extracellular
937,fibroblast behavior
938,regulated heart
939,including fibroblast
940,change density
941,culture animal
942,accumulation extracellular
943,bldg room
944,understanding fibroblast
945,fibroblast dr
946,medicine bldg
947,seen fibrosis
948,heart function
949,used examine
950,matrix change
951,cell culture
952,supported elaborate
953,exposure alcohol
954,heart composed
955,hypertension myocardial
956,carver lab
957,animal model
958,garner ferry
959,heart disease
960,produced largely
961,fibrosis cell
962,regulation fibroblast
963,alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease
964,cardiovascular disease
965,matrix known
966,alters heart
967,others cell
968,disease instance
969,excessive accumulation
970,fibrosis commonly
971,school medicine bldg room garner ferry road columbia
972,heart particularly
973,cell interconnected
974,expression regulated
975,interested chronic
976,alcohol abuse
977,result stiffer
978,matrix fibrosis
979,cell type
980,increased accumulation
981,particularly interested
982,correlated heart
983,cardiac fibroblast
984,model used
985,gene expression
986,sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast
987,wall heart
988,excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium
989,muscle cell
990,endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance
991,epitaxy
992,sic
993,plasmonics
994,chemistry
995,graphene
996,fracture fatigue material structure
997,constraint assessment specimen tested uniaxial biaxial loading condition
998,failure criterion
999,fracture fatigue
1000,hao peng
1001,durability pem
1002,uniaxial biaxial
1003,axial compression
1004,yupeng qian
1005,constraint assessment
1006,theoretical experimental
1007,combined experimental
1008,system cao
1009,solid structure
1010,experimental numerical
1011,biomechanics nanomechanics
1012,stress distortion
1013,chao theoretical
1014,bi xiangju
1015,yinbiao niffenegger
1016,asme journal pressure vessel technology
1017,cell system
1018,tested uniaxial
1019,pem fuel
1020,impact mechanic material characterization failure criterion
1021,durability pem fuel cell system cao
1022,material structure
1023,june wang
1024,chen bingquan
1025,zhu shiyang
1026,vessel technology
1027,wang bo
1028,quasi perfect
1029,perfect cylindrical
1030,vol
1031,asme journal
1032,specimen tested
1033,dr chao
1034,international journal solid structure
1035,yuh
1036,impact mechanic
1037,journal pressure
1038,journal solid
1039,shell axial
1040,dukaifan
1041,modeling residual
1042,fatigue material
1043,compression combined
1044,june wang bo
1045,buckling quasi
1046,dr chao theoretical experimental study failure
1047,material characterization
1048,assessment specimen
1049,markus chao
1050,buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation
1051,biaxial loading
1052,welding modeling residual stress distortion
1053,guian
1054,characterization failure
1055,study failure
1056,international journal
1057,cylindrical shell
1058,residual stress
1059,mechanic material
1060,xiangtao
1061,chao yuh
1062,experimental study
1063,numerical investigation
1064,loading condition
1065,welding modeling
1066,fuel cell
1067,pressure vessel
1068,hydraulic engineering
1069,water resource engineering
1070,water resource
1071,resource engineering
1072,hydraulic transient
1073,solid oxide
1074,solid oxide electrolysis cell
1075,structure property
1076,oxide fuel
1077,chen synthesis
1078,property relationship
1079,oxide electrolysis
1080,electronic conducting
1081,dr chen
1082,dr chen synthesis characterization material energy conversion storage
1083,ionic electronic
1084,solid oxide fuel cell
1085,synthesis characterization
1086,ionic electronic conducting ceramic
1087,catalysis electrocatalysis
1088,gas separation
1089,conversion storage
1090,material energy
1091,energy conversion
1092,characterization material
1093,structure property relationship
1094,gas separation membrane
1095,electrolysis cell
1096,composition
1097,separation membrane
1098,conducting ceramic
1099,data sensing analytics
1100,data sensing
1101,sensing analytics
1102,aiaugmented simulation
1103,emerging technology
1104,kit sjtu
1105,prof cheng
1106,published paper
1107,sjtu china
1108,sjtu give
1109,student kit
1110,director division
1111,currently professor
1112,technology kit
1113,cheng ha
1114,student ha
1115,director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety
1116,teaching experience
1117,ha supervised
1118,master student
1119,jiao tong
1120,nuclear safety
1121,division innovative
1122,thermal hydraulics
1123,hydraulics nuclear
1124,main field
1125,shanghai jiao
1126,tong sjtu
1127,innovative nuclear
1128,prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china
1129,kit germany
1130,system kit
1131,karlsruhe institute
1132,supervised supervising
1133,paper main
1134,field nuclear
1135,nuclear thermal
1136,nuclear system
1137,give lecture
1138,undergraduate master
1139,experience year
1140,kit ha
1141,supervising phd
1142,lecture undergraduate
1143,germany shanghai
1144,phd student
1145,institute technology
1146,year experience
1147,professor karlsruhe
1148,computational biology
1149,thermodynamics
1150,liion safety
1151,science dmz
1152,programmable switch
1153,iot security
1154,ehime school
1155,fourth military
1156,molecular medicine
1157,r china
1158,japan
1159,ehime school medicine
1160,fourth military medical
1161,military medical
1162,fused deposition
1163,fused deposition modeling
1164,printing
1165,additive manufacturing
1166,deposition modeling
1167,process simulation
1168,molecular dynamic simulation
1169,solid mechanic
1170,dynamic simulation
1171,molecular dynamic
1172,finite element
1173,manufacturing process simulation
1174,development
1175,foundation agency
1176,institution signal
1177,experience ha
1178,senior administrator
1179,reputation goal
1180,federal foundation
1181,signal competitiveness
1182,year administration
1183,sponsor based
1184,senior administrator year administration community economic development
1185,strategic planning
1186,student growth
1187,national ranking
1188,perceived bias
1189,goal identify
1190,funding review
1191,review enables
1192,ha concentrated
1193,competitiveness funding
1194,funding sponsor
1195,agent resource
1196,contributes perceived
1197,resource dependency
1198,ranking perceived
1199,administrator year
1200,past year administration leadership experience ha concentrated strategic growth
1201,concentrated strategic
1202,enables institution
1203,dependency theory
1204,administration community
1205,strategic growth
1206,leadership experience
1207,bias funding
1208,administration leadership
1209,review process
1210,community economic
1211,based principal
1212,past year
1213,bias federal
1214,administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory
1215,focused national
1216,process based
1217,principal agent
1218,agency review
1219,administration focused
1220,economic development
1221,capacity reputation
1222,based administrative
1223,identify contributes
1224,administrative capacity
1225,numerous business
1226,worked within
1227,internship department
1228,graduate program
1229,sc dillon
1230,undergraduate graduate
1231,private public
1232,technology brings
1233,sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship
1234,technology clinical
1235,director internship
1236,ha worked
1237,public sector
1238,instructor undergraduate
1239,department integrated
1240,dillon director
1241,related educational
1242,program within
1243,clinical instructor
1244,within iit
1245,mhit program
1246,within private
1247,business partnership
1248,iit mhit
1249,educational technology
1250,brings numerous
1251,partnership relationship
1252,sector related
1253,control dr dougal currently supervises dozen graduate student
1254,activity member
1255,comprehensive simulation
1256,insert greater
1257,dougal ha
1258,better realize
1259,development consortium
1260,member school
1261,sponsorship office
1262,hybrid power source
1263,several post doctoral scholar faculty
1264,post doctoral
1265,technology ship
1266,grid better
1267,realize smart
1268,virtual prototyping
1269,doctoral scholar
1270,principally focus power electronics also encompasses wide range associated technology across number engineering department dr dougal member board director electric ship development consortium esrdc
1271,system group
1272,seek insert
1273,sc dougal lead power energy system group
1274,several post
1275,dougal also
1276,overseen development
1277,graduate student
1278,coordination activity
1279,across number
1280,oversees usc
1281,encompasses wide
1282,principally focus
1283,related new
1284,director electric
1285,dynamic system
1286,distribution technology
1287,director new
1288,dr dougal
1289,applied study
1290,system grape
1291,sponsorship office naval
1292,consortium esrdc
1293,sponsored industry
1294,scholar faculty
1295,prof dougal
1296,energy system
1297,simulation virtual
1298,multidisciplinary dynamic
1299,new nsf
1300,dougal member
1301,coordination activity member school prof dougal also site director new nsf sponsored industry cooperative center grid connected advanced power electronic system grape joint project usc arkansas seek insert greater level advanced power electronics utility power grid better realize smart grid since
1302,currently supervises
1303,greater level
1304,supervises dozen
1305,navy ship
1306,system environment
1307,cooperative center
1308,grid since
1309,lead power
1310,environment multidisciplinary
1311,range associated
1312,usc activity
1313,electric system
1314,power source
1315,site director
1316,environment applied
1317,dougal lead
1318,associated technology
1319,connected advanced
1320,ha overseen
1321,nsf sponsored
1322,activity related
1323,processing
1324,electronics utility
1325,also encompasses
1326,board director
1327,arkansas seek
1328,engineering department
1329,street columbia
1330,electrochemical power
1331,number undergraduate researcher
1332,power generation
1333,comprehensive simulation virtual prototyping environment multidisciplinary dynamic system environment applied study electric system navy ship
1334,wide range
1335,advanced power
1336,level advanced
1337,bed software
1338,capacity oversees usc activity related new power generation
1339,hybrid power
1340,new power
1341,ship development
1342,number engineering
1343,dougal currently
1344,center grid
1345,joint project
1346,project usc
1347,electronics also
1348,utility power
1349,industry cooperative
1350,grid connected
1351,sc dougal
1352,system navy
1353,office naval
1354,power energy
1355,focus power
1356,department dr
1357,usc arkansas
1358,study electric
1359,member board
1360,electrochemical power source
1361,technology across
1362,prototyping environment
1363,swearingenroom main street columbia
1364,grape joint
1365,distribution technology ship
1366,electric ship
1367,undergraduate researcher
1368,smart grid
1369,development virtual
1370,dozen graduate
1371,school prof
1372,prof dougal ha overseen development virtual test bed software
1373,also site
1374,number undergraduate
1375,electronic system
1376,capacity oversees
1377,realtime system
1378,dr dryer
1379,kinetics fuel
1380,sc dryer
1381,relevant space
1382,space air
1383,particle burning
1384,fire safety dr dryer current chemistry chemical kinetics fuel hazardous waste material related ignition
1385,sulfur ash metal component effect stationary energy conversion
1386,kinetics relevant
1387,incineration
1388,application driven
1389,transportation stationary
1390,environment solid
1391,emission generation
1392,renewable energy
1393,security reduction
1394,related pollutant
1395,derived alternative
1396,effect stationary
1397,science heat
1398,ability address
1399,ash metal
1400,internal combustion
1401,earth micro
1402,micro gravity
1403,non petroleum
1404,phase interaction
1405,chemical kinetics
1406,fuel hazardous
1407,conversion related
1408,chemical kinetics relevant space air breathing propulsion
1409,heavy fuel
1410,including gasoline
1411,fossil renewable energy conversion related ground transportation stationary power generation
1412,fire safety
1413,combustion property
1414,phase gas
1415,sc dryer ha year application driven fundamental experience thermal science heat transfer
1416,stationary power
1417,nano catalyst
1418,fundamental experience
1419,driven fundamental
1420,fuel oil
1421,related issue
1422,dryer ha
1423,breathing propulsion
1424,chemical kinetic property
1425,fluid dynamic
1426,material related
