proposal_link,researcher_name,rank_in_pool,cosine_sim
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Wang, Yi",26,0.2856377065181732
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Bayat, Mahmoud",27,0.28279948234558105
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Rhodes, Curtis ",28,0.27860307693481445
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Karakchi, Rasha",29,0.27831220626831055
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Harik, Ramy",30,0.26794376969337463
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Fiedler, Kirk",31,0.2665565311908722
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Regan, Elizabeth A.",32,0.26284998655319214
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Lauterbach, Jochen",33,0.2599959373474121
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Ranson, Bill ",34,0.256412535905838
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Nelakuditi, Srihari",35,0.2537180781364441
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Tooren, Michel  van",36,0.2532762289047241
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Gerdes, Jr., John H.",37,0.2520204484462738
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"McNeill, Stephen ",38,0.24974913895130157
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Downey, Austin",39,0.2463080883026123
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Thatcher, Matt E. ",40,0.2458764910697937
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Luo, Lannan ",41,0.24475198984146118
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Hoque, Shamia",42,0.242832213640213
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Cole, Casey",43,0.23631054162979126
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Eastman, Caroline M. ",44,0.23254717886447906
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Farkas, Csilla ",45,0.23099945485591888
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Peters, Wally ",46,0.22994810342788696
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Vargas, Juan",47,0.2283337116241455
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Rose, John R. ",48,0.2277749478816986
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Goharian, Erfan",49,0.22541293501853943
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Reifsnider, Kenneth ",50,0.21794426441192627
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Huhns, Michael N.",1,0.42080992460250854
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Wu, Dezhi",2,0.4173787534236908
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Luo, Lannan ",3,0.41354599595069885
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Schooley, Benjamin",4,0.4050266146659851
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Karakchi, Rasha",5,0.3929535746574402
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Bakos, Jason D. ",6,0.3919992446899414
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Eastman, Caroline M. ",7,0.3899680972099304
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Huang, Chin-Tser",8,0.38914239406585693
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Farkas, Csilla ",9,0.38650476932525635
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Hikmet, Neset",10,0.3738125264644623
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Sheth, Amit",11,0.37331393361091614
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Xu, Songhua",12,0.3726217448711395
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Gholizadeh, Sona",13,0.36577174067497253
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Wang, Song",14,0.3655306398868561
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Rose, John R. ",15,0.36303019523620605
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Chen, Yuche",16,0.35529735684394836
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Fenner, Stephen A. ",17,0.3533836007118225
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Ali, Mohammod",18,0.3513306975364685
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Vidal, Jose M. ",19,0.34958741068840027
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Nelakuditi, Srihari",20,0.3479868173599243
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Hu, Jianjun",21,0.34128785133361816
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Fiedler, Kirk",22,0.3383203148841858
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Cole, Casey",23,0.336581289768219
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Goharian, Erfan",24,0.33563849329948425
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Srivastava, Biplav",25,0.3345601558685303
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Valafar, Homayoun",26,0.3334606885910034
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Matthews, Manton M",27,0.3334575891494751
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Peters, Wally ",28,0.33138981461524963
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Jamshidi, Pooyan ",29,0.33114093542099
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Agostinelli, Forest",30,0.33065295219421387
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Zand, Ramtin",31,0.3301600515842438
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Dougal, Roger A.",32,0.3264177441596985
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Gürdal, Zafer ",33,0.325834721326828
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Gumina, Sharon",34,0.32552605867385864
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Brookshire, Robert G., Ph.D.",35,0.324870765209198
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Xue, Xingjian (Chris) ",36,0.3229486346244812
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Wang, Yi",37,0.32229381799697876
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Tang, Jijun",38,0.31847068667411804
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Sasanakul, Inthuorn",39,0.31778669357299805
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Bayat, Mahmoud",40,0.3150164484977722
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Sahin, Alphan ",41,0.3140909671783447
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Valtorta, Marco",42,0.3136592507362366
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Koppel, Tarmo",43,0.31348294019699097
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Gassman, Sarah",44,0.313165545463562
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Crichigno, Jorge",45,0.31288444995880127
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"McNeill, Stephen ",46,0.31035351753234863
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Santi, Enrico",47,0.30985718965530396
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"Dillon, Anthony L",48,0.3073083758354187
