nsf_proposal_links_v0,researcher,pseudo_skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Debabrata Sircar,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Deepak Sharma,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,P Gopinath,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harsh Chauhan,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Srinivas Kiran Ambatipudi,"['application', 'decade', 'department', 'importance', 'india', 'potential', 'process', 'range', 'result', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Krishna Mohan Poluri,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Maya S.Nair,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,N K Navani,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,"['area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
