nsf_proposal_links_v0,researcher_name,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,N K Navani,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,N K Navani,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,0.575
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,0.6
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,0.575
