nsf_proposal_links_v0,researcher,pseudo_skills
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Sonal Atreya,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Tina Pujara,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Uttam Kumar Roy,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,V Devadas,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Jaydev Dabas,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Millie Pant,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Rajan Arora,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ashwani Kumar Sharma,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Bijan Choudhury,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Debabrata Sircar,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Deepak Sharma,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,P Gopinath,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harsh Chauhan,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Srinivas Kiran Ambatipudi,"['decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Krishna Mohan Poluri,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Maya S.Nair,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,N K Navani,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Partha Roy,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Poonam Choudhary,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhat Kumar Mandal,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Pranita P Sarangi,['chair']
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Pravindra Kumar,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prince Tiwari,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,R. P. Singh,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ramasare Prasad,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ranjana Pathania,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Sanjoy Ghosh,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Saugata Hazra,"['building', 'capacity building', 'chair', 'decade', 'demand']"
