,nsf_proposal_links_v1,skills
47,https://www.nsf.gov/pubs/2019/nsf19528/nsf19528.htm,"{'chemical', 'dynamic'}"
48,https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm,"{'chemical', 'transport phenomenon', 'national science', 'engineering', 'science foundation', 'transport process', 'foundation nsf', 'dynamic', 'combustion', 'fluid dynamic', 'thermal transport'}"
49,https://www.nsf.gov/pubs/2019/nsf19520/nsf19520.htm,"{'national science', 'mm', 'production', 'statistic', 'science foundation', 'development'}"
50,https://www.nsf.gov/pubs/2019/nsf19516/nsf19516.htm,"{'national science', 'system design', 'engineering', 'science foundation', 'discovery', 'material science', 'material', 'development', 'coordination activity', 'advanced material', 'property', 'science engineering'}"
51,https://www.nsf.gov/pubs/2019/nsf19511/nsf19511.htm,"{'national science', 'engineering', 'science foundation', 'program director', 'foundation nsf', 'area future', 'science engineering', 'area'}"
52,https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm,"{'chemical', 'civil', 'tissue engineering', 'national science', 'mechanobiology', 'engineering', 'science foundation', 'foundation nsf'}"
53,https://www.nsf.gov/pubs/2019/nsf19505/nsf19505.htm,"{'national science', 'science foundation', 'year'}"
54,https://www.nsf.gov/pubs/2018/nsf18598/nsf18598.htm,"{'united state', 'engineering', 'big data', 'computer information', 'industry', 'information science', 'science engineering'}"
55,https://www.nsf.gov/pubs/2018/nsf18596/nsf18596.htm,"{'learning', 'machine learning', 'engineering', 'computer information', 'system application', 'information science', 'year', 'modeling', 'synthesis', 'science engineering', 'area'}"
56,https://www.nsf.gov/pubs/2018/nsf18595/nsf18595.htm,{'multidisciplinary approach'}
57,https://www.nsf.gov/pubs/2018/nsf18591/nsf18591.htm,"{'theoretical foundation', 'computer science'}"
58,https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm,"{'national science', 'science foundation'}"
59,https://www.nsf.gov/pubs/2018/nsf18572/nsf18572.htm,"{'engineering', 'problem involving', 'cyber system', 'security'}"
60,https://www.nsf.gov/pubs/2018/nsf18571/nsf18571.htm,"{'engineering', 'professional development', 'industry', 'material', 'development', 'science engineering', 'higher education'}"
61,https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm,"{'project develop', 'intelligent system'}"
62,https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm,"{'development', 'development novel'}"
63,https://www.nsf.gov/pubs/2018/nsf18567/nsf18567.htm,"{'computational data', 'engineering', 'translational', 'discovery', 'development', 'service', 'security', 'science engineering', 'area', 'engineering education'}"
64,https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,"{'national science', 'nih', 'statistic', 'national institute', 'biomedical', 'science foundation', 'health', 'foundation nsf', 'biomedical science', 'support interface'}"
65,https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm,"{'broad range', 'physic'}"
66,https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm,"{'chemical', 'imaging', 'chemistry', 'computational method', 'catalysis', 'dynamic', 'synthesis'}"
67,https://www.nsf.gov/pubs/2018/nsf18557/nsf18557.htm,"{'smart grid', 'communication', 'actuation', 'perception'}"
68,https://www.nsf.gov/pubs/2018/nsf18556/nsf18556.htm,"{'national science', 'engineering', 'system directorate', 'engineering division', 'science foundation', 'computer information', 'health', 'directorate engineering', 'material', 'principal investigator', 'foundation nsf', 'information science', 'graduate student', 'science engineering', 'computer science'}"
69,https://www.nsf.gov/pubs/2018/nsf18541/nsf18541.htm,"{'national science', 'process modeling', 'nih', 'engineering', 'national institute', 'biomedical', 'science foundation', 'computer information', 'health', 'development', 'foundation nsf', 'information science', 'public health', 'modeling', 'aging', 'security', 'science engineering', 'area'}"
70,https://www.nsf.gov/pubs/2018/nsf18538/nsf18538.htm,"{'civil', 'national science', 'range application', 'science foundation', 'artificial intelligence', 'personalized medicine', 'security', 'energy'}"
71,https://www.nsf.gov/pubs/2018/nsf18537/nsf18537.htm,"{'national science', 'science foundation', 'professional development', 'material', 'development', 'foundation nsf', 'teaching', 'computer science'}"
72,https://www.nsf.gov/pubs/2018/nsf18536/nsf18536.htm,"{'learning', 'machine learning', 'engineering', 'computer information', 'system application', 'information science', 'year', 'modeling', 'synthesis', 'science engineering', 'area'}"
73,https://www.nsf.gov/pubs/2018/nsf18528/nsf18528.htm,"{'engineering', 'science engineering', 'information science', 'computer information'}"
74,https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm,{'chemical'}
75,https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm,"{'chemical', 'national science', 'engineering', 'science foundation', 'foundation nsf', 'dynamic', 'fluid dynamic'}"
76,https://www.nsf.gov/pubs/2018/nsf18518/nsf18518.htm,"{'national science', 'united state', 'robotics', 'science foundation', 'development'}"
77,https://www.nsf.gov/pubs/2018/nsf18517/nsf18517.htm,"{'area', 'product'}"
78,https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm,"{'chemical', 'tissue engineering', 'national science', 'engineering', 'science foundation', 'foundation nsf'}"
79,https://www.nsf.gov/pubs/2018/nsf18502/nsf18502.htm,"{'national science', 'science foundation', 'industry', 'development', 'foundation nsf', 'program level', 'higher education'}"
80,https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm,"{'theoretical foundation', 'computer science'}"
